EnglishText,UrduText
"﻿All praise be to Allah alone , the Sustainer of all the worlds .",﻿سب تعریفیں اللہ ہی کے لئے ہیں جو تمام جہانوں کی پرورش فرمانے والا ہے ۔
"Most Compassionate , Ever - Merciful .",نہایت مہربان بہت رحم فرمانے والا ہے ۔
Master of the Day of Judgment .,روزِ جزا کا مالک ہے ۔
( O Allah ! ) You alone do we worship and to You alone we look for help .,اے اللہ ! ہم تیری ہی عبادت کرتے ہیں اور ہم تجھ ہی سے مدد چاہتے ہیں ۔
Show us the straight path .,ہمیں سیدھا راستہ دکھا ۔
The path of those upon whom You have bestowed Your favours .,ان لوگوں کا راستہ جن پر تو نے انعام فرمایا ۔
Not of those who have been afflicted with wrath and nor of those who have gone astray .,ان لوگوں کا نہیں جن پر غضب کیا گیا ہے اور نہ ہی گمراہوں کا ۔
"Alif , Lam , Mim . ( Only Allah and the Messenger know the real meaning . )",الف لام میم حقیقی معنی اﷲ اور رسول صلی اللہ علیہ وآلہ وسلم ہی بہتر جانتے ہیں ۔
( This is ) the Glorious Book in which there is no chance of doubt . ( It is ) a guide for those who guard against evil and fear Allah .,یہ وہ عظیم کتاب ہے جس میں کسی شک کی گنجائش نہیں ، یہ پرہیزگاروں کے لئے ہدایت ہے ۔
"Those who believe in the unseen , and establish prayer ( fulfilling all requisites ) and spend ( in Our way ) out of what We have given them .",جو غیب پر ایمان لاتے اور نماز کو تمام حقوق کے ساتھ قائم کرتے ہیں اور جو کچھ ہم نے انہیں عطا کیا ہے اس میں سے ہماری راہ میں خرچ کرتے ہیں ۔
"And those who believe in ( all ) that which has been revealed to you and that which was revealed before you , and also have ( perfect ) faith in the life after death .",اور وہ لوگ جو آپ کی طرف نازل کیا گیا اور جو آپ سے پہلے نازل کیا گیا سب پر ایمان لاتے ہیں ، اور وہ آخرت پر بھی کامل یقین رکھتے ہیں ۔
It is they who follow Guidance from their Lord and it is they who shall achieve real success .,وہی اپنے رب کی طرف سے ہدایت پر ہیں اور وہی حقیقی کامیابی پانے والے ہیں ۔
"Verily those who have adopted disbelief , it is the same for them whether you warn them or you warn them not , they will not believe .",بیشک جنہوں نے کفر اپنا لیا ہے ان کے لئے برابر ہے خواہ آپ انہیں ڈرائیں یا نہ ڈرائیں ، وہ ایمان نہیں لائیں گے ۔
Allah ( as a result of their own choice ) has set a seal on their hearts and their ears and there is a blindfold ( set ) over their eyes . And for them there is severe torment .,اللہ نے ان کے اپنے اِنتخاب کے نتیجے میں ان کے دلوں اور کانوں پر مُہر لگا دی ہے اور ان کی آنکھوں پر پردہ پڑ گیا ہے اور ان کے لئے سخت عذاب ہے ۔
"And amongst people there are ( also ) some who say : We believe in Allah and the Day of Judgment , whereas they are not ( at all ) believers .",اور لوگوں میں سے بعض وہ بھی ہیں جو کہتے ہیں ہم اللہ پر اور یومِ قیامت پر ایمان لائے حالانکہ وہ ہرگز مومن نہیں ہیں ۔
